statistic,chain_count,burn_in,pooled_mean,pooled_sd,pooled_min,pooled_max,split_rhat
dem_seats,3,700,5.7149206349206345,0.8058201555717556,3.0,9.0,1.0180290060226769
efficiency_gap,3,700,-0.09991938123048828,0.06277206099901783,-0.3052763980337042,0.1604067540535139,1.0182706804109805
mean_median,3,700,-0.030403476097224557,0.010537822297147666,-0.0706337543646906,0.0208244449057342,1.0174508255787416
cut_edges,3,700,845.0065608465609,53.7874694197251,658.0,1066.0,1.0304159702584945
max_population_deviation,3,700,0.018654345708828637,0.001253925706218612,0.0085434327799691,0.0199996407779005,1.0013506203844262
