CD,dem_votes,rep_votes,precinct_count,two_party_votes,dem_share,rep_share,dem_wasted_votes,rep_wasted_votes,winner,dem_margin_pp
1,277724,70486,933,348210,0.7975761752965165,0.20242382470348352,103618.0,70486.0,Democratic,29.757617529651647
2,198778,232270,849,431048,0.4611504983203727,0.5388495016796273,198778.0,16745.0,Republican,-3.8849501679627307
3,143377,246340,304,389717,0.3679002968820965,0.6320997031179034,143377.0,51481.0,Republican,-13.209970311790348
4,108370,257497,327,365867,0.2962005318872705,0.7037994681127295,108370.0,74563.0,Republican,-20.379946811272948
5,217988,125619,259,343607,0.6344108239936904,0.3655891760063096,46184.0,125619.0,Democratic,13.441082399369042
6,116470,256999,421,373469,0.31185988663048336,0.6881401133695166,116470.0,70264.0,Republican,-18.814011336951665
7,103531,254576,259,358107,0.2891063285554318,0.7108936714445682,103531.0,75522.0,Republican,-21.089367144456823
8,86776,274949,381,361725,0.23989494781947612,0.7601050521805239,86776.0,94086.0,Republican,-26.010505218052387
