party,statewide_vote_share_pct,seats_won,total_districts,seat_share_pct,seat_minus_vote_gap_pp
Democratic,51.41349967271187,7,13,53.84615384615385,2.432654173441975
Republican,48.58650032728813,6,13,46.15384615384615,-2.432654173441975
