state_code,state,election,dem_column,rep_column,total_dem_votes,total_rep_votes,total_two_party_votes,dem_vote_share_pct,rep_vote_share_pct,dem_seats,rep_seats,tied_districts,total_districts,dem_seat_share_pct,rep_seat_share_pct,dem_wasted_votes,rep_wasted_votes,efficiency_gap_exact_pct,efficiency_gap_shortcut_pct,shortcut_minus_exact_pp,mean_median_difference_pp,district_turnout_mean,district_turnout_cv
MI,Michigan,2020 Presidential,PRE20D,PRE20R,2804046,2649864,5453910,51.41349967271187,48.58650032728813,7,6,0,13,53.84615384615385,46.15384615384615,1354383,1372562,0.3333204985047425,1.0191545007301017,0.6858340022253593,-1.4019748014664102,419531.53846153844,0.07973572630162877
MI,Michigan,2016 Presidential,PRE16D,PRE16R,2268777,2279540,4548317,49.881681509885965,50.118318490114035,6,7,0,13,46.15384615384615,53.84615384615385,1225198,1048952,-3.8749717752742385,-3.609516865925777,0.2654549093484615,-2.144666264131423,349870.53846153844,0.06650770538028007
MO,Missouri,2020 Presidential,PRE20D,PRE20R,1253014,1718736,2971750,42.16417935559855,57.83582064440145,2,6,0,8,25.0,75.0,907104,578766,-11.04864137292841,-9.328358711197104,1.7202826617313052,-8.488234441687725,371468.75,0.07064164840513765
MO,Missouri,2016 Presidential,PRE16D,PRE16R,1070966,1594501,2665467,40.179300662885716,59.82069933711429,2,6,0,8,25.0,75.0,752184,580545,-6.43935940681314,-5.358601325771428,1.080758081041712,-8.370872115396988,333183.375,0.06957136807066834
