CD,dem_votes,rep_votes,precinct_count,two_party_votes,dem_share,rep_share,dem_wasted_votes,rep_wasted_votes,winner,dem_margin_pp
1,262296.2624143491,72643.41717346304,933,334939.67958781216,0.7831149260581475,0.21688507394185252,94826.26241434913,72643.41717346304,Democratic,28.31149260581475
2,158919.6574492883,225237.3015362327,849,384156.958985521,0.41368418229091103,0.586315817709089,158919.6574492883,33158.3015362327,Republican,-8.631581770908896
3,117789.84422945928,230246.24385510097,304,348036.08808456024,0.3384414670263751,0.6615585329736249,117789.84422945928,56227.24385510097,Republican,-16.155853297362487
4,89011.6679666843,230126.74985677772,327,319138.41782346205,0.27891241854787574,0.7210875814521243,89011.6679666843,70556.74985677772,Republican,-22.108758145212427
5,183921.62096774194,118701.9495967742,259,302623.5705645161,0.6077570911765177,0.39224290882348234,32609.62096774194,118701.9495967742,Democratic,10.775709117651767
6,98831.0,232274.0,421,331105.0,0.2984883949200405,0.7015116050799595,98831.0,66721.0,Republican,-20.151160507995954
7,82267.0,232636.0,259,314903.0,0.26124552640019305,0.738754473599807,82267.0,75184.0,Republican,-23.875447359980694
8,77928.94697247706,252635.33798165136,381,330564.28495412844,0.235745210597361,0.764254789402639,77928.94697247706,87352.33798165136,Republican,-26.4254789402639
