party,statewide_vote_share_pct,seats_won,total_districts,seat_share_pct,seat_minus_vote_gap_pp
Democratic,49.881681509885965,6,13,46.15384615384615,-3.7278353560398116
Republican,50.118318490114035,7,13,53.84615384615385,3.7278353560398116
