party,statewide_vote_share_pct,seats_won,total_districts,seat_share_pct,seat_minus_vote_gap_pp
Democratic,40.179300662885716,2,8,25.0,-15.179300662885716
Republican,59.82069933711429,6,8,75.0,15.179300662885709
