party,statewide_vote_share_pct,seats_won,total_districts,seat_share_pct,seat_minus_vote_gap_pp
Democratic,42.16417935559855,2,8,25.0,-17.16417935559855
Republican,57.83582064440145,6,8,75.0,17.16417935559855
