CD,dem_votes,rep_votes,precinct_count,two_party_votes,dem_share,rep_share,dem_wasted_votes,rep_wasted_votes,winner,dem_margin_pp
1,182859,274619,552,457478,0.39971102435526956,0.6002889756447305,182859.0,45879.0,Republican,-10.028897564473043
2,145537,262974,405,408511,0.3562621324762369,0.643737867523763,145537.0,58718.0,Republican,-14.373786752376311
3,222278,187116,292,409394,0.5429439610741731,0.4570560389258269,17580.0,187116.0,Democratic,4.294396107417309
4,196304,212437,302,408741,0.48026500889316215,0.5197349911068379,196304.0,8066.0,Republican,-1.9734991106837851
5,150553,248686,331,399239,0.377099932621813,0.622900067378187,150553.0,49066.0,Republican,-12.290006737818699
6,285826,164192,310,450018,0.6351434831495629,0.3648565168504371,60816.0,164192.0,Democratic,13.514348314956292
7,222250,217761,326,440011,0.5051010088384154,0.49489899116158464,2244.0,217761.0,Democratic,0.5101008838415355
8,215747,207073,392,422820,0.5102573198997209,0.4897426801002791,4336.0,207073.0,Democratic,1.0257319899720896
9,159890,296591,354,456481,0.35026649521009634,0.6497335047899037,159890.0,68350.0,Republican,-14.973350478990366
10,209969,214177,302,424146,0.4950394439650498,0.5049605560349502,209969.0,2103.0,Republican,-0.4960556034950214
11,274499,182826,296,457325,0.6002274093915706,0.3997725906084294,45836.0,182826.0,Democratic,10.02274093915706
12,285415,97501,415,382916,0.7453723532054027,0.25462764679459726,93956.0,97501.0,Democratic,24.537235320540272
13,252919,83911,479,336830,0.7508802660095597,0.2491197339904403,84503.0,83911.0,Democratic,25.08802660095597
