CD,dem_votes,rep_votes,precinct_count,two_party_votes,dem_vote_share,rep_vote_share,winner,dem_margin_votes,dem_margin_pct
1,277724,70486,933,348210,0.7975761752965165,0.20242382470348352,Democratic,207238,29.757617529651647
2,198778,232270,849,431048,0.4611504983203727,0.5388495016796273,Republican,-33492,-3.8849501679627307
3,143377,246340,304,389717,0.3679002968820965,0.6320997031179035,Republican,-102963,-13.209970311790348
4,108370,257497,327,365867,0.2962005318872705,0.7037994681127295,Republican,-149127,-20.379946811272948
5,217988,125619,259,343607,0.6344108239936904,0.3655891760063095,Democratic,92369,13.441082399369042
6,116470,256999,421,373469,0.31185988663048336,0.6881401133695166,Republican,-140529,-18.814011336951665
7,103531,254576,259,358107,0.2891063285554318,0.7108936714445683,Republican,-151045,-21.089367144456823
8,86776,274949,381,361725,0.23989494781947612,0.7601050521805239,Republican,-188173,-26.010505218052387
