district,dem_presidential_votes,rep_presidential_votes,two_party_votes,dem_presidential_vote_share_pct,rep_presidential_vote_share_pct,presidential_winner,dem_margin_pp
1,277724,70486,348210,79.75761752965165,20.242382470348353,Democratic,29.757617529651647
2,198778,232270,431048,46.11504983203727,53.88495016796273,Republican,-3.8849501679627307
3,143377,246340,389717,36.79002968820965,63.20997031179034,Republican,-13.209970311790348
4,108370,257497,365867,29.620053188727052,70.37994681127296,Republican,-20.379946811272948
5,217988,125619,343607,63.441082399369044,36.558917600630956,Democratic,13.441082399369042
6,116470,256999,373469,31.185988663048335,68.81401133695167,Republican,-18.814011336951665
7,103531,254576,358107,28.910632855543177,71.08936714445682,Republican,-21.089367144456823
8,86776,274949,361725,23.989494781947613,76.01050521805239,Republican,-26.010505218052387
