metric,minimum_percentile,maximum_percentile,percentile_range
cut_edges,0.031746031746031744,0.12962962962962962,0.09788359788359788
dem_seats,87.11111111111111,92.53086419753086,5.419753086419746
efficiency_gap,92.27160493827161,96.07407407407408,3.8024691358024683
max_population_deviation,0.0,0.0,0.0
mean_median,87.90123456790124,95.14814814814815,7.246913580246911
