constraint_label,epsilon,metric,enacted_value,q05,q25,q75,q95,sample_count,count_below,count_equal,count_above,midrank_percentile,lower_tail_inclusive_percent,upper_tail_inclusive_percent,two_sided_extremeness_percent,ensemble_mean,ensemble_median,ensemble_sd,ensemble_min,ensemble_max
1% tolerance,0.01,dem_seats,7.0,4.0,5.0,6.0,7.0,8100,6997,996,107,92.53086419753086,98.67901234567901,13.617283950617285,27.23456790123457,5.716296296296297,6.0,0.8043627865538975,3.0,8.0
1% tolerance,0.01,efficiency_gap,0.0033332049850474,-0.2311378442255189,-0.15362758094651352,-0.07481710369258017,0.0028584996818796,8100,7716,0,384,95.25925925925925,95.25925925925925,4.7407407407407405,9.481481481481481,-0.09953889171504114,-0.0793608622071137,0.06285508840976539,-0.3146507734817773,0.0830664605759904
1% tolerance,0.01,mean_median,-0.0140197480146642,-0.0486292382909123,-0.03815391811980162,-0.022876389213729774,-0.014245932550805536,8100,7707,0,393,95.14814814814815,95.14814814814815,4.851851851851851,9.703703703703702,-0.03102730271008564,-0.03128222278486015,0.010943715639643069,-0.0645999344062644,0.0113635461479881
1% tolerance,0.01,cut_edges,681.0,758.0,809.0,875.0,931.0,8100,7,0,8093,0.08641975308641975,0.08641975308641976,99.91358024691358,0.17283950617283952,842.6349382716049,842.0,52.17654492238989,649.0,1071.0
1% tolerance,0.01,max_population_deviation,0.0040193182103474,0.007982143287741545,0.0089673545505254,0.0097818559299083,0.0099477728775606,8100,0,0,8100,0.0,0.0,100.0,0.0,0.009282708712416453,0.0094967606005993,0.0006691905157753764,0.0049262051628551,0.0099980838180269
2% tolerance,0.02,dem_seats,7.0,4.0,5.0,6.0,7.0,18900,16267,2438,195,92.51851851851852,98.96825396825398,13.93121693121693,27.86243386243386,5.7149206349206345,6.0,0.8058201555717556,3.0,9.0
2% tolerance,0.02,efficiency_gap,0.0033332049850474,-0.23000380460990372,-0.1543179113700079,-0.0745804386210993,0.001963627929320421,18900,18158,0,742,96.07407407407408,96.07407407407408,3.9259259259259256,7.851851851851851,-0.09991938123048828,-0.0797863367749009,0.06277206099901783,-0.3052763980337042,0.1604067540535139
2% tolerance,0.02,mean_median,-0.0140197480146642,-0.04725477464698853,-0.03772667026027503,-0.022805180266444576,-0.012532966628868268,18900,17639,0,1261,93.32804232804233,93.32804232804233,6.671957671957672,13.343915343915343,-0.030403476097224557,-0.031374421495452345,0.010537822297147666,-0.0706337543646906,0.0208244449057342
2% tolerance,0.02,cut_edges,681.0,760.0,808.0,881.0,938.0,18900,6,0,18894,0.031746031746031744,0.031746031746031744,99.96825396825398,0.06349206349206349,845.0065608465609,842.0,53.7874694197251,658.0,1066.0
2% tolerance,0.02,max_population_deviation,0.0040193182103474,0.0161424686754856,0.0180929851366399,0.0195997333023992,0.0199299794757163,18900,0,0,18900,0.0,0.0,100.0,0.0,0.018654345708828637,0.0190042383246118,0.001253925706218612,0.0085434327799691,0.0199996407779005
3% tolerance,0.03,dem_seats,7.0,5.0,5.0,6.0,7.0,8100,6154,1804,142,87.11111111111111,98.24691358024691,24.02469135802469,48.04938271604938,5.925679012345679,6.0,0.8319210891272357,4.0,8.0
3% tolerance,0.03,efficiency_gap,0.0033332049850474,-0.1657808893069376,-0.15122916403094291,-0.0686869603642157,0.0056445742595679,8100,7474,0,626,92.27160493827161,92.2716049382716,7.728395061728395,15.45679012345679,-0.08409679919068594,-0.07820132712127625,0.06516719323390366,-0.2454699472488545,0.0875922044918233
3% tolerance,0.03,mean_median,-0.0140197480146642,-0.04849626502220805,-0.0357750319630384,-0.018871952101042425,-0.009946965470432934,8100,7120,0,980,87.90123456790124,87.90123456790123,12.098765432098766,24.19753086419753,-0.027776564767734577,-0.02718976977249645,0.011897924540314606,-0.0651479047482281,0.0154490442599257
3% tolerance,0.03,cut_edges,681.0,758.0,804.0,876.0,928.0,8100,10,1,8089,0.12962962962962962,0.13580246913580246,99.87654320987654,0.2716049382716049,841.0623456790123,840.0,52.8885068959055,650.0,1065.0
3% tolerance,0.03,max_population_deviation,0.0040193182103474,0.0239845252676528,0.027241042295822,0.0293401099953946,0.0298365708142362,8100,0,0,8100,0.0,0.0,100.0,0.0,0.027942523278175764,0.0284743053493032,0.0018852179849514102,0.0169913045428398,0.0299999077136595
