dem_seats,count,probability
3,6,0.00031746031746031746
4,1151,0.0608994708994709
5,5902,0.31227513227513226
6,9208,0.4871957671957672
7,2438,0.128994708994709
8,189,0.01
9,6,0.00031746031746031746
