constraint_label,epsilon,statistic,chain_count,burn_in,pooled_mean,pooled_sd,pooled_min,pooled_max,split_rhat
1% tolerance,0.01,dem_seats,3,300,5.716296296296297,0.8043627865538975,3.0,8.0,1.0204783394738295
1% tolerance,0.01,efficiency_gap,3,300,-0.09953889171504114,0.06285508840976539,-0.3146507734817773,0.0830664605759904,1.0206704632147625
1% tolerance,0.01,mean_median,3,300,-0.03102730271008564,0.010943715639643069,-0.0645999344062644,0.0113635461479881,1.0100110308304604
1% tolerance,0.01,cut_edges,3,300,842.6349382716049,52.17654492238989,649.0,1071.0,1.0566164005136887
1% tolerance,0.01,max_population_deviation,3,300,0.009282708712416453,0.0006691905157753764,0.0049262051628551,0.0099980838180269,1.0003201742841787
2% tolerance,0.02,dem_seats,3,700,5.7149206349206345,0.8058201555717556,3.0,9.0,1.0180290060226769
2% tolerance,0.02,efficiency_gap,3,700,-0.09991938123048828,0.06277206099901783,-0.3052763980337042,0.1604067540535139,1.0182706804109805
2% tolerance,0.02,mean_median,3,700,-0.030403476097224557,0.010537822297147666,-0.0706337543646906,0.0208244449057342,1.0174508255787416
2% tolerance,0.02,cut_edges,3,700,845.0065608465609,53.7874694197251,658.0,1066.0,1.0304159702584945
2% tolerance,0.02,max_population_deviation,3,700,0.018654345708828637,0.001253925706218612,0.0085434327799691,0.0199996407779005,1.0013506203844262
3% tolerance,0.03,dem_seats,3,300,5.925679012345679,0.8319210891272357,4.0,8.0,1.0172187057066155
3% tolerance,0.03,efficiency_gap,3,300,-0.08409679919068594,0.06516719323390366,-0.2454699472488545,0.0875922044918233,1.0157442212300358
3% tolerance,0.03,mean_median,3,300,-0.027776564767734577,0.011897924540314606,-0.0651479047482281,0.0154490442599257,1.0167319462602393
3% tolerance,0.03,cut_edges,3,300,841.0623456790123,52.8885068959055,650.0,1065.0,1.0417082843490149
3% tolerance,0.03,max_population_deviation,3,300,0.027942523278175764,0.0018852179849514102,0.0169913045428398,0.0299999077136595,1.00163536972484
