state,district,simplification_tolerance_m,area,perimeter,convex_hull_area,polsby_popper,reock,convex_hull_ratio
Michigan,1,0,72652319302.94716,5086553.704595896,149011296802.73962,0.03528678396450655,0.2354539994758358,0.48756249265533147
Michigan,1,100,72664382041.5748,4745094.371795179,149009480095.1024,0.04055475108175911,0.23549411057549868,0.48764938979183187
Michigan,1,250,72685286435.4499,4527034.5316960635,149008996310.8837,0.04456857574048281,0.23556185850789732,0.48779126250742305
Michigan,1,500,72673033511.30656,4343659.307068162,149008576226.4596,0.04840292917572224,0.23552214866117913,0.48771040802953425
Michigan,1,1000,72671474866.78993,4177301.643882576,149005916500.47556,0.052333787244404975,0.2355170973334995,0.48770865327725427
Michigan,1,2500,72705950514.34042,3902703.263474635,148659298021.76065,0.05998584174260945,0.23562882761632709,0.48907771987257587
Michigan,10,0,595697498.1994592,145905.12889396955,800955429.9265591,0.35163696501869307,0.4577224431416532,0.7437336410267918
Michigan,10,100,596651856.2724504,141264.52094818026,800636405.8112675,0.37572029793207895,0.4584557534409923,0.7452219908334996
Michigan,10,250,598926865.9428061,137262.63026893442,800032916.2917365,0.3994652681312058,0.46020382690335293,0.7486277798655026
Michigan,10,500,598786360.9728746,132264.2573734313,800032916.2917365,0.4301270622587517,0.46009586559088367,0.7484521558792011
Michigan,10,1000,601129621.0219327,127646.24232639784,800032916.2917365,0.4636197448990369,0.46189638132825606,0.7513811104276208
Michigan,10,2500,600024821.3918294,120835.37224914227,786669948.519963,0.5164055625798718,0.46104747464135165,0.7627402349876375
Michigan,11,0,875534528.969821,165047.81716135918,1058916011.0332433,0.40389043886504256,0.473167431266591,0.8268215041110892
Michigan,11,100,875229352.9754434,164253.025295527,1056608714.5160807,0.40766646142542695,0.47300250420024925,0.828338192702009
Michigan,11,250,874944723.1806557,163995.1135964071,1056608714.5160807,0.40881673393410134,0.47284868097066163,0.8280688121916296
Michigan,11,500,876475926.5874649,162968.40562430897,1056608714.5160807,0.41470858201844346,0.47367619326032434,0.8295179800678482
Michigan,11,1000,876475926.5874649,162968.40562430897,1056608714.5160807,0.41470858201844346,0.47367619326032434,0.8295179800678482
Michigan,11,2500,867483420.1156145,159405.17581937215,1056608714.5160807,0.4290088089504822,0.468816349305409,0.8210072548123132
Michigan,12,0,496857257.47716093,113781.30356403971,593901321.9452802,0.4822804880548022,0.573226883508124,0.8365990091581905
Michigan,12,100,496668285.3469958,112649.16708532018,593614731.6142074,0.49183601065696814,0.5731476198341103,0.8366845681144289
Michigan,12,250,496146305.5841781,110841.66445259849,593571582.4881234,0.5074737101552733,0.5725452631556454,0.8358660020488857
Michigan,12,500,495948862.27672106,108919.31903711209,593105121.5262336,0.5253357150424325,0.5723174165927384,0.8361904901453204
Michigan,12,1000,497050142.32647675,105118.46609591135,591310010.8519633,0.5652649230241631,0.5735882769599858,0.8405914549126671
Michigan,12,2500,473540508.78501713,96133.18698006238,520134427.40204537,0.6439028096669445,0.5464585187241774,0.9104194681944927
Michigan,13,0,561084210.770526,179022.34111867906,857842228.3380331,0.22000038822095516,0.2383806698306711,0.6540645729897906
Michigan,13,100,561708487.3736143,173965.86382752165,856997982.6143656,0.23323449071212296,0.2386458982437099,0.6554373508092299
Michigan,13,250,561422749.6970794,169398.7811948785,855877363.8562987,0.24585514904735323,0.23852450053295504,0.6559616755927453
Michigan,13,500,562059019.9561926,160594.78376442072,854402233.0162897,0.2738601967738266,0.23879482453717615,0.6578388939504054
Michigan,13,1000,562455044.2544188,155969.35126594064,854402233.0162897,0.2905488417486864,0.2389630783138254,0.658302404324001
Michigan,13,2500,557769989.9461383,149692.0181612799,847350383.9538667,0.312800703196488,0.2369725992328559,0.6582518878949438
Michigan,2,0,25785754438.999763,895009.8431439376,32762812346.85162,0.40451449028337993,0.5127654681187775,0.7870433760695661
Michigan,2,100,25792693583.040962,891120.6421016837,32759544470.285362,0.4081629264033198,0.5129034572340984,0.7873337068662936
Michigan,2,250,25787457982.680126,887306.5941516941,32754890385.908813,0.4115958424349879,0.5127993441247454,0.7872857359270515
Michigan,2,500,25812454756.12856,883301.1673353098,32752627496.114746,0.41573976193620943,0.5132964202242843,0.7881033287845545
Michigan,2,1000,25811447319.245834,872997.953943263,32743173351.76805,0.4255942675114592,0.5132763867269019,0.7883001150177791
Michigan,2,2500,25848315483.088955,864807.8614159563,32715280071.22556,0.43431302298663166,0.5140095326712737,0.7900991654912842
Michigan,3,0,2142440045.6039062,281923.981271021,2856901716.691003,0.3387306549404541,0.37230632371435474,0.7499173083508733
Michigan,3,100,2142044087.02195,279108.3911652732,2856749552.9377356,0.3455353483117433,0.3722375153085869,0.7498186478472294
Michigan,3,250,2145923670.8847315,275304.19147581403,2855256704.1627827,0.3557938912806735,0.37291169688414955,0.751569436035685
