metric,enacted_value,sample_count,count_below,count_equal,count_above,midrank_percentile,lower_tail_inclusive_percent,upper_tail_inclusive_percent,two_sided_extremeness_percent,ensemble_mean,ensemble_median,ensemble_sd,ensemble_min,ensemble_max
dem_seats,6.0,18900,16767,2098,35,94.26455026455027,99.81481481481481,11.285714285714285,22.57142857142857,4.672645502645502,5.0,0.7136672948358201,3.0,7.0
efficiency_gap,-0.038749497891198,18900,17911,0,989,94.76719576719577,94.76719576719577,5.232804232804233,10.465608465608465,-0.14247369585185005,-0.120364851438455,0.05580462058039363,-0.2803137951906165,0.0425111090541842
mean_median,-0.0214466626413144,18900,17040,0,1860,90.15873015873017,90.15873015873017,9.841269841269842,19.682539682539684,-0.03858757051376732,-0.040085025362593896,0.011313110032926713,-0.0777523072502718,0.0076081468234054
cut_edges,681.0,18900,6,0,18894,0.031746031746031744,0.031746031746031744,99.96825396825398,0.06349206349206349,845.0065608465609,842.0,53.7874694197251,658.0,1066.0
max_population_deviation,0.0040193182103474,18900,0,0,18900,0.0,0.0,100.0,0.0,0.018654345708828637,0.0190042383246118,0.001253925706218612,0.0085434327799691,0.0199996407779005
