rank,enacted_dem_share
1,0.7508802660095597
2,0.7453723532054027
3,0.6351434831495629
4,0.6002274093915706
5,0.5429439610741731
6,0.5102573198997209
7,0.5051010088384154
8,0.4950394439650498
9,0.4802650088931621
10,0.3997110243552695
11,0.377099932621813
12,0.3562621324762369
13,0.3502664952100963
