rank,sample_count,mean,median,q05,q25,q75,q95,enacted_dem_share,enacted_minus_ensemble_median
1,18900,0.7744398509716267,0.7747506062024078,0.709280191219456,0.7498315959571462,0.7998575815568116,0.8395241141641591,0.7508802660095597,-0.02387034019284806
2,18900,0.6872624225023282,0.6874577697533214,0.6254508743822503,0.6622656767715341,0.7146918046785465,0.7447622082370748,0.7453723532054027,0.057914583452081336
3,18900,0.6124222463729475,0.6116760872611763,0.5668768256102832,0.5914532753267242,0.6331079952333752,0.6615084011714194,0.6351434831495629,0.023467395888386644
4,18900,0.5677837107567516,0.5676000202695408,0.5217896877324802,0.5477391106451936,0.587733291797826,0.6137330187230359,0.6002274093915706,0.03262738912202978
5,18900,0.5261062299520988,0.5228356084890589,0.4982509750311608,0.5110477302664801,0.538392904265496,0.5656523366804672,0.5429439610741731,0.02010835258511423
6,18900,0.5038431167818319,0.5037346741942509,0.482455939101667,0.4952312774197046,0.5114119046250281,0.526130441239213,0.5102573198997209,0.006522645705470009
7,18900,0.4883887510917859,0.4875344263240616,0.4716719960271359,0.4810641780470525,0.4959060532095508,0.5065615744769423,0.5051010088384154,0.01756658251435378
8,18900,0.47567587316933824,0.4765801122961556,0.45761843539487596,0.4688953197258649,0.482588413008708,0.4927347193053754,0.4950394439650498,0.018459331668894186
9,18900,0.4609617363300011,0.4614608409201976,0.4372083076792923,0.4522769958777471,0.4702860322568122,0.4824057691603724,0.4802650088931621,0.01880416797296447
10,18900,0.43622180610250244,0.4352431222308607,0.4121089291122137,0.4252561477777418,0.446092153479746,0.4641482409811118,0.3997110243552695,-0.035532097875591195
11,18900,0.4163838173364492,0.4147228943426662,0.4007941646165134,0.4072527109752334,0.4238917650115045,0.4375409692526498,0.377099932621813,-0.037622961720853165
12,18900,0.4039716804429565,0.402792667357642,0.3891684469269513,0.39906250793133363,0.4087092649354068,0.4212324638129534,0.3562621324762369,-0.04653053488140513
13,18900,0.3908377116465192,0.3940657700061237,0.3700242181836138,0.38363941217652586,0.3997928151244959,0.4035457508455319,0.3502664952100963,-0.04379927479602741
