rank,enacted_dem_share
1,0.765422232051499
2,0.7448786358388038
3,0.6092969663792536
4,0.5727206777807023
5,0.5055260276315172
6,0.5004961844508776
7,0.4800591166565026
8,0.4718022453636017
9,0.4500299676116684
10,0.3769901790567461
11,0.3658787631113741
12,0.350515716252107
13,0.3259584186869657
